1005000|./out/14TOC-3676.csv|20TH AVE|LINCOLN WAY|IRVING ST|LINESTRING (-122.47832482115133 37.765399135801346, -122.47819082575279 37.763514758153356)
1006000|./out/14TOC-3676.csv|20TH AVE|IRVING ST|JUDAH ST|LINESTRING (-122.47819082575279 37.763514758153356, -122.47806197653817 37.76165315771787)
1007000|./out/14TOC-3676.csv|20TH AVE|JUDAH ST|KIRKHAM ST|LINESTRING (-122.47806197653817 37.76165315771787, -122.47793668044616 37.75978449355117)
1008000|./out/14TOC-3676.csv|20TH AVE|KIRKHAM ST|LAWTON ST|LINESTRING (-122.47793668044616 37.75978449355117, -122.47780711553985 37.75791957471202)
1009000|./out/14TOC-3676.csv|20TH AVE|LAWTON ST|MORAGA ST|LINESTRING (-122.47780711553985 37.75791957471202, -122.47768021321268 37.756060578518856)
1010000|./out/14TOC-3676.csv|20TH AVE|MORAGA ST|NORIEGA ST|LINESTRING (-122.47768021321268 37.756060578518856, -122.47754850331556 37.754192711335264)
1079000|./out/14TOC-3676.csv|21ST AVE|LINCOLN WAY|IRVING ST|LINESTRING (-122.47939843027277 37.76535099317125, -122.47926651890837 37.76346741311236)
1080000|./out/14TOC-3676.csv|21ST AVE|IRVING ST|JUDAH ST|LINESTRING (-122.47926651890837 37.76346741311236, -122.47913615954872 37.76160591534898)
1081000|./out/14TOC-3676.csv|21ST AVE|JUDAH ST|KIRKHAM ST|LINESTRING (-122.47913615954872 37.76160591534898, -122.47900537065523 37.75973742249408)
1082000|./out/14TOC-3676.csv|21ST AVE|KIRKHAM ST|LAWTON ST|LINESTRING (-122.47900537065523 37.75973742249408, -122.47887451703737 37.75787260170708)
1083000|./out/14TOC-3676.csv|21ST AVE|LAWTON ST|MORAGA ST|LINESTRING (-122.47887451703737 37.75787260170708, -122.4787443724361 37.75601365432957)
1084000|./out/14TOC-3676.csv|21ST AVE|MORAGA ST|NORIEGA ST|LINESTRING (-122.4787443724361 37.75601365432957, -122.47861569438031 37.75414576761248)
|./out/14TOC-3676.csv|IRVING ST|20TH AVE|Intersection|
|./out/14TOC-3676.csv|IRVING ST|21ST AVE|Intersection|
|./out/14TOC-3676.csv|JUDAH ST|20TH AVE|Intersection|
|./out/14TOC-3676.csv|JUDAH ST|21ST AVE|Intersection|
|./out/14TOC-3676.csv|KIRKHAM ST|20TH AVE|Intersection|
|./out/14TOC-3676.csv|KIRKHAM ST|21ST AVE|Intersection|
|./out/14TOC-3676.csv|KIRKHAM ST|22ND AVE|Intersection|
|./out/14TOC-3676.csv|KIRKHAM ST|23RD AVE|Intersection|
|./out/14TOC-3676.csv|KIRKHAM ST|24TH AVE|Intersection|
|./out/14TOC-3676.csv|KIRKHAM ST|25TH AVE|Intersection|
|./out/14TOC-3676.csv|KIRKHAM ST|26TH AVE|Intersection|
|./out/14TOC-3676.csv|KIRKHAM ST|27TH AVE|Intersection|
|./out/14TOC-3676.csv|KIRKHAM ST|28TH AVE|Intersection|
7858000|./out/14TOC-3676.csv|KIRKHAM ST|20TH AVE|21ST AVE|LINESTRING (-122.47793668044616 37.75978449355117, -122.47900537065523 37.75973742249408)
